epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,13199.6,0.97413,0.64817,1.05142,0.96453,0.92606,0.95732,0.76726,0.67397,0.36785,0.87693,0.00034165,0.00034165,0.00034165
135,13272,0.95682,0.6349,1.04412,0.96551,0.92614,0.95761,0.76695,0.67334,0.36702,0.87677,0.0003367,0.0003367,0.0003367
136,13344.8,0.96623,0.63634,1.05337,0.96581,0.92715,0.95771,0.76599,0.6727,0.36614,0.87652,0.00033175,0.00033175,0.00033175
137,13417.4,0.96219,0.63957,1.05575,0.96658,0.92759,0.95771,0.76536,0.67251,0.36597,0.87633,0.0003268,0.0003268,0.0003268
138,13482.8,0.96441,0.6374,1.05226,0.96649,0.92583,0.95516,0.76597,0.67188,0.36521,0.87615,0.00032185,0.00032185,0.00032185
139,13539.9,0.96533,0.62822,1.05237,0.96692,0.92571,0.95514,0.76564,0.67193,0.36489,0.87598,0.0003169,0.0003169,0.0003169
140,13596.5,0.94738,0.62874,1.04823,0.96777,0.92614,0.9555,0.76632,0.67197,0.36457,0.87619,0.00031195,0.00031195,0.00031195
141,13654.2,0.95932,0.6255,1.04662,0.96808,0.9247,0.95502,0.76696,0.67184,0.36442,0.87597,0.000307,0.000307,0.000307
142,13710.4,0.95706,0.62905,1.04333,0.97125,0.92507,0.95511,0.76669,0.6714,0.36481,0.87574,0.00030205,0.00030205,0.00030205
143,13783.1,0.95908,0.63305,1.05189,0.97098,0.92598,0.95743,0.76725,0.67098,0.36456,0.87552,0.0002971,0.0002971,0.0002971
144,13856.4,0.95979,0.63396,1.04981,0.97269,0.92595,0.95755,0.76765,0.67086,0.36392,0.87546,0.00029215,0.00029215,0.00029215
145,13924.1,0.94933,0.63208,1.04631,0.97266,0.9255,0.95742,0.76742,0.67067,0.36366,0.8754,0.0002872,0.0002872,0.0002872
146,13981.2,0.9478,0.62553,1.04378,0.97229,0.9256,0.95727,0.76821,0.67047,0.36355,0.87541,0.00028225,0.00028225,0.00028225
147,14041.4,0.95084,0.61623,1.04133,0.97509,0.92701,0.9573,0.76822,0.67106,0.36314,0.87549,0.0002773,0.0002773,0.0002773
148,14095.7,0.95088,0.62761,1.04472,0.97308,0.92673,0.95721,0.7689,0.67009,0.36317,0.87523,0.00027235,0.00027235,0.00027235
149,14151.8,0.9445,0.62506,1.04537,0.97248,0.92679,0.95717,0.76794,0.67011,0.36369,0.87519,0.0002674,0.0002674,0.0002674
150,14207.5,0.94865,0.63248,1.05236,0.97207,0.92686,0.95724,0.76784,0.66972,0.36327,0.875,0.00026245,0.00026245,0.00026245
151,14264.3,0.93651,0.60668,1.03714,0.96904,0.9285,0.95725,0.76771,0.66969,0.36324,0.87489,0.0002575,0.0002575,0.0002575
152,14321.5,0.93709,0.61727,1.04054,0.97162,0.92862,0.9574,0.76685,0.66964,0.36314,0.87508,0.00025255,0.00025255,0.00025255
153,14379.9,0.9387,0.61459,1.03568,0.97159,0.92968,0.95728,0.76758,0.66978,0.36307,0.87517,0.0002476,0.0002476,0.0002476
154,14433.1,0.94216,0.62137,1.04278,0.97243,0.92995,0.95768,0.7678,0.67002,0.36323,0.8752,0.00024265,0.00024265,0.00024265
155,14487.7,0.94572,0.62502,1.04469,0.97227,0.93059,0.9576,0.76763,0.6699,0.36362,0.87513,0.0002377,0.0002377,0.0002377
156,14543.2,0.92818,0.61346,1.03483,0.97247,0.93041,0.95762,0.76818,0.66958,0.36405,0.87499,0.00023275,0.00023275,0.00023275
157,14599.7,0.93577,0.61196,1.03911,0.97253,0.93054,0.95769,0.76874,0.66927,0.36421,0.87478,0.0002278,0.0002278,0.0002278
158,14655.4,0.93842,0.60782,1.04399,0.97231,0.93022,0.95763,0.76788,0.66904,0.36368,0.8748,0.00022285,0.00022285,0.00022285
159,14711,0.93995,0.61095,1.04532,0.97242,0.93026,0.95764,0.76745,0.66878,0.36365,0.87468,0.0002179,0.0002179,0.0002179
160,14768.9,0.93566,0.61508,1.03797,0.97322,0.93005,0.95745,0.76756,0.6686,0.36369,0.87457,0.00021295,0.00021295,0.00021295
161,14825.5,0.93066,0.60407,1.035,0.9748,0.92825,0.9575,0.76767,0.66858,0.36292,0.87454,0.000208,0.000208,0.000208
162,14882.2,0.92964,0.60179,1.03128,0.974,0.92916,0.95749,0.76762,0.66838,0.36388,0.87442,0.00020305,0.00020305,0.00020305
163,14937.5,0.91775,0.59392,1.02814,0.97388,0.92901,0.95749,0.76799,0.66836,0.36364,0.87434,0.0001981,0.0001981,0.0001981
164,14994.3,0.93899,0.61933,1.03413,0.97434,0.92842,0.95781,0.76793,0.66816,0.36337,0.87435,0.00019315,0.00019315,0.00019315
165,15050.7,0.91039,0.58421,1.02567,0.97403,0.9281,0.95747,0.76787,0.66803,0.36337,0.87437,0.0001882,0.0001882,0.0001882
166,15106.6,0.91759,0.60033,1.03349,0.97604,0.93,0.95814,0.76798,0.66762,0.36328,0.87432,0.00018325,0.00018325,0.00018325
167,15162,0.91965,0.59155,1.04145,0.97424,0.92765,0.95817,0.76841,0.66732,0.36318,0.87422,0.0001783,0.0001783,0.0001783
